time,zone,fee
2023-01-31,37001,6
2023-01-31,37005,4
2023-01-31,37008,1
2023-01-31,37105,1
2023-01-31,37204,6
2023-02-01,37001,1545
2023-02-01,37005,896
2023-02-01,37008,413
2023-02-01,37009,208
2023-02-01,37010,71
2023-02-01,37101,246
2023-02-01,37102,16
2023-02-01,37103,42
2023-02-01,37104,69
2023-02-01,37105,46
2023-02-01,37106,36
2023-02-01,37107,24
2023-02-01,37108,36
2023-02-01,37109,26
2023-02-01,37201,23
2023-02-01,37202,73
2023-02-01,37203,63
2023-02-01,37204,370
2023-02-01,37205,3
2023-02-01,37206,7
2023-02-01,37207,1
2023-02-01,37208,3
2023-02-02,37001,1608
2023-02-02,37005,1087
2023-02-02,37008,398
2023-02-02,37009,240
2023-02-02,37010,54
2023-02-02,37101,257
2023-02-02,37102,20
2023-02-02,37103,53
2023-02-02,37104,64
2023-02-02,37105,59
2023-02-02,37106,70
2023-02-02,37107,19
2023-02-02,37108,31
2023-02-02,37109,51
2023-02-02,37201,40
2023-02-02,37202,136
2023-02-02,37203,77
2023-02-02,37204,379
2023-02-02,37205,7
2023-02-02,37206,8
2023-02-02,37207,1
2023-02-02,37208,22
2023-02-02,37209,1
2023-02-03,37001,1653
2023-02-03,37005,922
2023-02-03,37008,305
2023-02-03,37009,169
2023-02-03,37010,34
2023-02-03,37101,238
2023-02-03,37102,11
2023-02-03,37103,40
2023-02-03,37104,84
2023-02-03,37105,72
2023-02-03,37106,75
2023-02-03,37107,30
2023-02-03,37108,48
2023-02-03,37109,28
2023-02-03,37201,23
2023-02-03,37202,69
2023-02-03,37203,53
2023-02-03,37204,398
2023-02-03,37205,6
2023-02-03,37206,1
2023-02-03,37207,4
2023-02-03,37208,9
2023-02-04,37001,1190
2023-02-04,37005,555
2023-02-04,37008,47
2023-02-04,37009,31
2023-02-04,37010,25
2023-02-04,37101,199
2023-02-04,37102,17
2023-02-04,37103,49
2023-02-04,37104,51
2023-02-04,37105,81
2023-02-04,37106,204
2023-02-04,37107,17
2023-02-04,37108,61
2023-02-04,37109,5
2023-02-04,37201,41
2023-02-04,37202,28
2023-02-04,37203,44
2023-02-04,37204,329
2023-02-04,37205,10
2023-02-04,37206,4
2023-02-04,37207,3
2023-02-04,37208,18
2023-02-04,37209,17
2023-02-05,37001,16
2023-02-05,37005,16
2023-02-05,37008,1
2023-02-05,37009,1
2023-02-05,37101,5
2023-02-05,37103,1
2023-02-05,37105,3
2023-02-05,37107,1
2023-02-05,37108,9
2023-02-05,37109,1
2023-02-05,37204,10
2023-02-06,37001,1565
2023-02-06,37005,996
2023-02-06,37008,439
2023-02-06,37009,236
2023-02-06,37010,39
2023-02-06,37101,247
2023-02-06,37102,12
2023-02-06,37103,42
2023-02-06,37104,62
2023-02-06,37105,59
2023-02-06,37106,37
2023-02-06,37107,16
2023-02-06,37108,47
2023-02-06,37109,30
2023-02-06,37201,32
2023-02-06,37202,88
2023-02-06,37203,56
2023-02-06,37204,326
2023-02-06,37205,3
2023-02-06,37206,4
2023-02-06,37207,4
2023-02-06,37208,10
2023-02-07,37001,1582
2023-02-07,37005,1043
2023-02-07,37008,491
2023-02-07,37009,247
2023-02-07,37010,51
2023-02-07,37101,241
2023-02-07,37102,27
2023-02-07,37103,52
2023-02-07,37104,69
2023-02-07,37105,70
2023-02-07,37106,91
2023-02-07,37107,28
2023-02-07,37108,34
2023-02-07,37109,48
2023-02-07,37201,27
2023-02-07,37202,68
2023-02-07,37203,64
2023-02-07,37204,394
2023-02-07,37205,1
2023-02-07,37206,5
2023-02-07,37207,1
2023-02-07,37208,4
2023-02-08,37001,1526
2023-02-08,37005,924
2023-02-08,37008,432
2023-02-08,37009,206
2023-02-08,37010,67
2023-02-08,37101,217
2023-02-08,37102,15
2023-02-08,37103,39
2023-02-08,37104,70
2023-02-08,37105,56
2023-02-08,37106,54
2023-02-08,37107,27
2023-02-08,37108,27
2023-02-08,37109,37
2023-02-08,37201,31
2023-02-08,37202,70
2023-02-08,37203,63
2023-02-08,37204,396
2023-02-08,37205,1
2023-02-08,37206,8
2023-02-08,37207,2
2023-02-08,37208,5
2023-02-09,37001,1619
2023-02-09,37005,1051
2023-02-09,37008,431
2023-02-09,37009,232
2023-02-09,37010,53
2023-02-09,37101,257
2023-02-09,37102,13
2023-02-09,37103,54
2023-02-09,37104,66
2023-02-09,37105,78
2023-02-09,37106,85
2023-02-09,37107,35
2023-02-09,37108,39
2023-02-09,37109,30
2023-02-09,37201,26
2023-02-09,37202,122
2023-02-09,37203,75
2023-02-09,37204,373
2023-02-09,37205,6
2023-02-09,37206,2
2023-02-09,37207,1
2023-02-09,37208,4
2023-02-10,37001,1617
2023-02-10,37005,893
2023-02-10,37008,295
2023-02-10,37009,134
2023-02-10,37010,50
2023-02-10,37101,222
2023-02-10,37102,19
2023-02-10,37103,50
2023-02-10,37104,73
2023-02-10,37105,64
2023-02-10,37106,78
2023-02-10,37107,34
2023-02-10,37108,58
2023-02-10,37109,34
2023-02-10,37201,35
2023-02-10,37202,59
2023-02-10,37203,54
2023-02-10,37204,366
2023-02-10,37206,6
2023-02-10,37207,1
2023-02-10,37208,9
2023-02-11,37001,1198
2023-02-11,37005,598
2023-02-11,37008,58
2023-02-11,37009,16
2023-02-11,37010,26
2023-02-11,37101,200
2023-02-11,37102,33
2023-02-11,37103,50
2023-02-11,37104,44
2023-02-11,37105,92
2023-02-11,37106,170
2023-02-11,37107,31
2023-02-11,37108,38
2023-02-11,37109,28
2023-02-11,37201,35
2023-02-11,37202,25
2023-02-11,37203,30
2023-02-11,37204,323
2023-02-11,37205,22
