time,zone,fee
2023-01-31,37001,6
2023-01-31,37005,4
2023-01-31,37008,1
2023-01-31,37105,1
2023-01-31,37204,6
2023-02-01,37001,430
2023-02-01,37005,248
2023-02-01,37008,159
2023-02-01,37009,69
2023-02-01,37010,18
2023-02-01,37101,55
2023-02-01,37102,7
2023-02-01,37103,42
2023-02-01,37104,10
2023-02-01,37105,19
2023-02-01,37106,9
2023-02-01,37107,9
2023-02-01,37108,20
2023-02-01,37109,3
2023-02-01,37201,4
2023-02-01,37202,7
2023-02-01,37203,26
2023-02-01,37204,200
2023-02-01,37205,2
2023-02-01,37206,5
2023-02-01,37207,1
2023-02-02,37001,444
2023-02-02,37005,299
2023-02-02,37008,122
2023-02-02,37009,67
2023-02-02,37010,15
2023-02-02,37101,60
2023-02-02,37102,5
2023-02-02,37103,53
2023-02-02,37104,4
2023-02-02,37105,30
2023-02-02,37106,17
2023-02-02,37107,5
2023-02-02,37108,23
2023-02-02,37109,9
2023-02-02,37201,10
2023-02-02,37202,19
2023-02-02,37203,20
2023-02-02,37204,182
2023-02-02,37205,3
2023-02-02,37206,6
2023-02-02,37208,7
2023-02-02,37209,1
2023-02-03,37001,463
2023-02-03,37005,254
2023-02-03,37008,103
2023-02-03,37009,55
2023-02-03,37010,7
2023-02-03,37101,73
2023-02-03,37102,5
2023-02-03,37103,40
2023-02-03,37104,13
2023-02-03,37105,37
2023-02-03,37106,23
2023-02-03,37107,3
2023-02-03,37108,32
2023-02-03,37109,8
2023-02-03,37201,9
2023-02-03,37202,8
2023-02-03,37203,24
2023-02-03,37204,184
2023-02-03,37205,2
2023-02-03,37206,1
2023-02-03,37207,2
2023-02-03,37208,1
2023-02-04,37001,357
2023-02-04,37005,142
2023-02-04,37008,19
2023-02-04,37009,10
2023-02-04,37010,5
2023-02-04,37101,42
2023-02-04,37102,7
2023-02-04,37103,49
2023-02-04,37104,2
2023-02-04,37105,37
2023-02-04,37106,52
2023-02-04,37107,4
2023-02-04,37108,34
2023-02-04,37109,5
2023-02-04,37201,9
2023-02-04,37202,2
2023-02-04,37203,10
2023-02-04,37204,139
2023-02-04,37206,1
2023-02-04,37208,3
2023-02-04,37209,2
2023-02-05,37001,11
2023-02-05,37005,10
2023-02-05,37009,1
2023-02-05,37101,3
2023-02-05,37103,1
2023-02-05,37105,3
2023-02-05,37108,7
2023-02-05,37109,1
2023-02-05,37204,9
2023-02-06,37001,412
2023-02-06,37005,267
2023-02-06,37008,133
2023-02-06,37009,53
2023-02-06,37010,10
2023-02-06,37101,55
2023-02-06,37102,5
2023-02-06,37103,42
2023-02-06,37104,10
2023-02-06,37105,28
2023-02-06,37106,5
2023-02-06,37107,6
2023-02-06,37108,21
2023-02-06,37109,6
2023-02-06,37201,4
2023-02-06,37202,10
2023-02-06,37203,25
2023-02-06,37204,160
2023-02-06,37205,1
2023-02-06,37206,2
2023-02-06,37207,4
2023-02-06,37208,2
2023-02-07,37001,407
2023-02-07,37005,285
2023-02-07,37008,161
2023-02-07,37009,66
2023-02-07,37010,10
2023-02-07,37101,69
2023-02-07,37102,10
2023-02-07,37103,52
2023-02-07,37104,10
2023-02-07,37105,29
2023-02-07,37106,22
2023-02-07,37107,4
2023-02-07,37108,25
2023-02-07,37109,14
2023-02-07,37201,4
2023-02-07,37202,8
2023-02-07,37203,19
2023-02-07,37204,194
2023-02-07,37206,4
2023-02-07,37208,1
2023-02-08,37001,402
2023-02-08,37005,240
2023-02-08,37008,140
2023-02-08,37009,74
2023-02-08,37010,16
2023-02-08,37101,49
2023-02-08,37102,4
2023-02-08,37103,39
2023-02-08,37104,8
2023-02-08,37105,33
2023-02-08,37106,15
2023-02-08,37107,5
2023-02-08,37108,15
2023-02-08,37109,9
2023-02-08,37201,6
2023-02-08,37202,10
2023-02-08,37203,27
2023-02-08,37204,204
2023-02-08,37205,1
2023-02-08,37206,5
2023-02-09,37001,410
2023-02-09,37005,244
2023-02-09,37008,119
2023-02-09,37009,65
2023-02-09,37010,8
2023-02-09,37101,48
2023-02-09,37102,2
2023-02-09,37103,54
2023-02-09,37104,10
2023-02-09,37105,38
2023-02-09,37106,17
2023-02-09,37107,8
2023-02-09,37108,25
2023-02-09,37109,5
2023-02-09,37201,6
2023-02-09,37202,13
2023-02-09,37203,26
2023-02-09,37204,183
2023-02-09,37205,3
2023-02-10,37001,422
2023-02-10,37005,235
2023-02-10,37008,84
2023-02-10,37009,30
2023-02-10,37010,20
2023-02-10,37101,43
2023-02-10,37102,7
2023-02-10,37103,50
2023-02-10,37104,12
2023-02-10,37105,32
2023-02-10,37106,19
2023-02-10,37107,9
2023-02-10,37108,31
2023-02-10,37109,10
2023-02-10,37201,10
2023-02-10,37202,8
2023-02-10,37203,23
2023-02-10,37204,175
2023-02-10,37206,5
2023-02-10,37207,1
2023-02-10,37208,3
2023-02-11,37001,370
2023-02-11,37005,150
2023-02-11,37008,13
2023-02-11,37009,4
2023-02-11,37010,10
2023-02-11,37101,56
2023-02-11,37102,10
2023-02-11,37103,50
2023-02-11,37104,6
2023-02-11,37105,38
2023-02-11,37106,51
2023-02-11,37107,9
2023-02-11,37108,19
2023-02-11,37109,3
2023-02-11,37201,10
2023-02-11,37202,4
2023-02-11,37203,3
2023-02-11,37204,122
2023-02-11,37205,2
2023-02-11,37206,2
2023-02-11,37207,2
2023-02-11,37208,2
2023-02-11,37209,2
2023-02-12,37001,14
2023-02-12,37005,6
2023-02-12,37008,1
2023-02-12,37010,1
2023-02-12,37104,1
2023-02-12,37106,1
2023-02-12,37108,6
2023-02-12,37204,6
2023-02-13,37001,403
2023-02-13,37005,263
