time,zone,fee
2023-02-01,37001,1115
2023-02-01,37005,648
2023-02-01,37008,254
2023-02-01,37009,139
2023-02-01,37010,53
2023-02-01,37101,191
2023-02-01,37102,9
2023-02-01,37104,59
2023-02-01,37105,27
2023-02-01,37106,27
2023-02-01,37107,15
2023-02-01,37108,16
2023-02-01,37109,23
2023-02-01,37201,19
2023-02-01,37202,66
2023-02-01,37203,37
2023-02-01,37204,170
2023-02-01,37205,1
2023-02-01,37206,2
2023-02-01,37208,3
2023-02-02,37001,1164
2023-02-02,37005,788
2023-02-02,37008,276
2023-02-02,37009,173
2023-02-02,37010,39
2023-02-02,37101,197
2023-02-02,37102,15
2023-02-02,37104,60
2023-02-02,37105,29
2023-02-02,37106,53
2023-02-02,37107,14
2023-02-02,37108,8
2023-02-02,37109,42
2023-02-02,37201,30
2023-02-02,37202,117
2023-02-02,37203,57
2023-02-02,37204,197
2023-02-02,37205,4
2023-02-02,37206,2
2023-02-02,37207,1
2023-02-02,37208,15
2023-02-03,37001,1190
2023-02-03,37005,668
2023-02-03,37008,202
2023-02-03,37009,114
2023-02-03,37010,27
2023-02-03,37101,165
2023-02-03,37102,6
2023-02-03,37104,71
2023-02-03,37105,35
2023-02-03,37106,52
2023-02-03,37107,27
2023-02-03,37108,16
2023-02-03,37109,20
2023-02-03,37201,14
2023-02-03,37202,61
2023-02-03,37203,29
2023-02-03,37204,214
2023-02-03,37205,4
2023-02-03,37207,2
2023-02-03,37208,8
2023-02-04,37001,833
2023-02-04,37005,413
2023-02-04,37008,28
2023-02-04,37009,21
2023-02-04,37010,20
2023-02-04,37101,157
2023-02-04,37102,10
2023-02-04,37104,49
2023-02-04,37105,44
2023-02-04,37106,152
2023-02-04,37107,13
2023-02-04,37108,27
2023-02-04,37201,32
2023-02-04,37202,26
2023-02-04,37203,34
2023-02-04,37204,190
2023-02-04,37205,10
2023-02-04,37206,3
2023-02-04,37207,3
2023-02-04,37208,15
2023-02-04,37209,15
2023-02-05,37001,5
2023-02-05,37005,6
2023-02-05,37008,1
2023-02-05,37101,2
2023-02-05,37107,1
2023-02-05,37108,2
2023-02-05,37204,1
2023-02-06,37001,1153
2023-02-06,37005,729
2023-02-06,37008,306
2023-02-06,37009,183
2023-02-06,37010,29
2023-02-06,37101,192
2023-02-06,37102,7
2023-02-06,37104,52
2023-02-06,37105,31
2023-02-06,37106,32
2023-02-06,37107,10
2023-02-06,37108,26
2023-02-06,37109,24
2023-02-06,37201,28
2023-02-06,37202,78
2023-02-06,37203,31
2023-02-06,37204,166
2023-02-06,37205,2
2023-02-06,37206,2
2023-02-06,37208,8
2023-02-07,37001,1175
2023-02-07,37005,758
2023-02-07,37008,330
2023-02-07,37009,181
2023-02-07,37010,41
2023-02-07,37101,172
2023-02-07,37102,17
2023-02-07,37104,59
2023-02-07,37105,41
2023-02-07,37106,69
2023-02-07,37107,24
2023-02-07,37108,9
2023-02-07,37109,34
2023-02-07,37201,23
2023-02-07,37202,60
2023-02-07,37203,45
2023-02-07,37204,200
2023-02-07,37205,1
2023-02-07,37206,1
2023-02-07,37207,1
2023-02-07,37208,3
2023-02-08,37001,1124
2023-02-08,37005,684
2023-02-08,37008,292
2023-02-08,37009,132
2023-02-08,37010,51
2023-02-08,37101,168
2023-02-08,37102,11
2023-02-08,37104,62
2023-02-08,37105,23
2023-02-08,37106,39
2023-02-08,37107,22
2023-02-08,37108,12
2023-02-08,37109,28
2023-02-08,37201,25
2023-02-08,37202,60
2023-02-08,37203,36
2023-02-08,37204,192
2023-02-08,37206,3
2023-02-08,37207,2
2023-02-08,37208,5
2023-02-09,37001,1209
2023-02-09,37005,807
2023-02-09,37008,312
2023-02-09,37009,167
2023-02-09,37010,45
2023-02-09,37101,209
2023-02-09,37102,11
2023-02-09,37104,56
2023-02-09,37105,40
2023-02-09,37106,68
2023-02-09,37107,27
2023-02-09,37108,14
2023-02-09,37109,25
2023-02-09,37201,20
2023-02-09,37202,109
2023-02-09,37203,49
2023-02-09,37204,190
2023-02-09,37205,3
2023-02-09,37206,2
2023-02-09,37207,1
2023-02-09,37208,4
2023-02-10,37001,1195
2023-02-10,37005,658
2023-02-10,37008,211
2023-02-10,37009,104
2023-02-10,37010,30
2023-02-10,37101,179
2023-02-10,37102,12
2023-02-10,37104,61
2023-02-10,37105,32
2023-02-10,37106,59
2023-02-10,37107,25
2023-02-10,37108,27
2023-02-10,37109,24
2023-02-10,37201,25
2023-02-10,37202,51
2023-02-10,37203,31
2023-02-10,37204,191
2023-02-10,37206,1
2023-02-10,37208,6
2023-02-11,37001,828
2023-02-11,37005,448
2023-02-11,37008,45
2023-02-11,37009,12
2023-02-11,37010,16
2023-02-11,37101,144
2023-02-11,37102,23
2023-02-11,37104,38
2023-02-11,37105,54
2023-02-11,37106,119
2023-02-11,37107,22
2023-02-11,37108,19
2023-02-11,37109,25
2023-02-11,37201,25
2023-02-11,37202,21
2023-02-11,37203,27
2023-02-11,37204,201
2023-02-11,37205,20
2023-02-11,37206,6
2023-02-11,37208,18
2023-02-11,37209,16
2023-02-12,37001,12
2023-02-12,37101,2
2023-02-12,37105,1
2023-02-12,37108,3
2023-02-12,37202,1
2023-02-12,37204,1
2023-02-13,37001,1184
2023-02-13,37005,710
2023-02-13,37008,291
2023-02-13,37009,122
2023-02-13,37010,33
2023-02-13,37101,107
2023-02-13,37102,10
2023-02-13,37104,61
2023-02-13,37105,58
2023-02-13,37106,40
2023-02-13,37107,22
2023-02-13,37108,15
2023-02-13,37109,28
2023-02-13,37201,20
2023-02-13,37202,74
2023-02-13,37203,43
2023-02-13,37204,174
2023-02-13,37205,1
2023-02-13,37206,2
2023-02-13,37208,6
2023-02-14,37001,1213
2023-02-14,37005,755
2023-02-14,37008,316
2023-02-14,37009,140
2023-02-14,37010,34
2023-02-14,37101,77
2023-02-14,37102,16
2023-02-14,37104,70
2023-02-14,37105,53
2023-02-14,37106,65
2023-02-14,37107,20
2023-02-14,37108,16
2023-02-14,37109,37
2023-02-14,37201,22
2023-02-14,37202,67
2023-02-14,37203,36
2023-02-14,37204,168
2023-02-14,37205,3
2023-02-14,37206,3
2023-02-14,37208,4
2023-02-15,37001,1174
2023-02-15,37005,660
2023-02-15,37008,277
2023-02-15,37009,124
2023-02-15,37010,38
2023-02-15,37101,68
2023-02-15,37102,12
2023-02-15,37104,74
2023-02-15,37105,39
2023-02-15,37106,32
2023-02-15,37107,29
2023-02-15,37108,20
2023-02-15,37109,36
2023-02-15,37201,21
2023-02-15,37202,50
2023-02-15,37203,29
2023-02-15,37204,187
2023-02-15,37205,1
2023-02-15,37206,2
2023-02-15,37208,5
2023-02-16,37001,1254
2023-02-16,37005,765
2023-02-16,37008,276
2023-02-16,37009,151
2023-02-16,37010,37
2023-02-16,37101,86
2023-02-16,37102,16
2023-02-16,37104,78
2023-02-16,37105,33
2023-02-16,37106,59
2023-02-16,37107,21
2023-02-16,37108,21
2023-02-16,37109,27
2023-02-16,37201,28
2023-02-16,37202,82
2023-02-16,37203,62
2023-02-16,37204,264
2023-02-16,37205,3
2023-02-16,37206,1
2023-02-16,37208,12
2023-02-17,37001,1196
2023-02-17,37005,606
2023-02-17,37008,192
2023-02-17,37009,105
2023-02-17,37010,49
2023-02-17,37101,70
2023-02-17,37102,14
2023-02-17,37104,84
2023-02-17,37105,41
2023-02-17,37106,53
2023-02-17,37107,23
2023-02-17,37108,26
2023-02-17,37109,32
2023-02-17,37201,27
