time,machine_ID,fee
2023-02-01,1,191
2023-02-01,2,9
2023-02-01,3,13
2023-02-01,5,21
2023-02-01,8,78
2023-02-01,9,90
2023-02-01,10,30
2023-02-01,11,5
2023-02-01,12,51
2023-02-01,13,83
2023-02-01,14,18
2023-02-01,15,40
2023-02-01,16,59
2023-02-01,17,62
2023-02-01,18,94
2023-02-01,19,20
2023-02-01,20,58
2023-02-01,21,10
2023-02-01,22,44
2023-02-01,23,42
2023-02-01,24,31
2023-02-01,25,22
2023-02-01,26,8
2023-02-01,27,11
2023-02-01,28,19
2023-02-01,29,66
2023-02-01,30,37
2023-02-01,31,6
2023-02-01,32,8
2023-02-01,33,9
2023-02-01,34,3
2023-02-01,35,5
2023-02-01,37,4
2023-02-01,38,11
2023-02-01,39,3
2023-02-01,40,3
2023-02-01,41,37
2023-02-01,42,25
2023-02-01,43,24
2023-02-01,44,3
2023-02-01,45,5
2023-02-01,46,3
2023-02-01,47,8
2023-02-01,48,7
2023-02-01,49,5
2023-02-01,50,3
2023-02-01,51,8
2023-02-01,52,15
2023-02-01,53,98
2023-02-01,55,72
2023-02-01,58,11
2023-02-01,59,8
2023-02-01,60,5
2023-02-01,61,2
2023-02-01,62,3
2023-02-01,63,1
2023-02-01,64,10
2023-02-01,65,7
2023-02-01,66,4
2023-02-01,68,3
2023-02-01,69,6
2023-02-01,70,6
2023-02-01,71,1
2023-02-01,72,7
2023-02-01,73,18
2023-02-01,75,30
2023-02-01,76,55
2023-02-01,77,19
2023-02-01,79,27
2023-02-01,80,28
2023-02-01,81,17
2023-02-01,82,13
2023-02-01,83,12
2023-02-01,84,12
2023-02-01,85,15
2023-02-01,86,1
2023-02-01,88,57
2023-02-01,89,1
2023-02-01,90,1
2023-02-01,92,15
2023-02-01,94,45
2023-02-01,95,3
2023-02-01,97,16
2023-02-01,99,23
2023-02-01,100,4
2023-02-01,101,4
2023-02-01,102,5
2023-02-01,103,4
2023-02-01,104,2
2023-02-01,105,3
2023-02-01,106,5
2023-02-01,107,1
2023-02-01,108,3
2023-02-01,109,16
2023-02-01,111,1
2023-02-01,113,1
2023-02-01,114,8
2023-02-01,116,6
2023-02-01,117,1
2023-02-01,119,1
2023-02-01,121,3
2023-02-01,122,1
2023-02-01,125,2
2023-02-01,126,1
2023-02-01,128,1
2023-02-01,209,22
2023-02-01,210,7
2023-02-01,211,9
2023-02-01,213,8
2023-02-01,214,23
2023-02-01,215,9
2023-02-01,216,9
2023-02-01,217,4
2023-02-01,218,50
2023-02-01,220,8
2023-02-01,221,6
2023-02-01,222,13
2023-02-01,223,33
2023-02-01,224,4
2023-02-01,225,2
2023-02-01,226,5
2023-02-01,241,3
2023-02-01,242,3
2023-02-01,243,7
2023-02-01,244,5
2023-02-01,245,2
2023-02-01,247,1
2023-02-01,248,2
2023-02-01,249,4
2023-02-01,300,11
2023-02-01,301,6
2023-02-01,302,9
2023-02-01,303,6
2023-02-01,304,10
2023-02-01,305,8
2023-02-01,306,3
2023-02-01,308,1
2023-02-01,309,2
2023-02-01,311,1
2023-02-01,312,1
2023-02-01,313,8
2023-02-01,314,1
2023-02-01,315,2
2023-02-01,316,3
2023-02-01,317,3
2023-02-01,318,2
2023-02-01,319,1
2023-02-01,321,5
2023-02-01,322,3
2023-02-01,323,1
2023-02-01,324,1
2023-02-01,325,7
2023-02-01,326,15
2023-02-01,328,6
2023-02-01,329,12
2023-02-01,330,12
2023-02-01,331,11
2023-02-01,332,9
2023-02-01,333,7
2023-02-01,334,26
2023-02-01,335,27
2023-02-01,336,18
2023-02-01,337,3
2023-02-01,338,5
2023-02-01,339,2
2023-02-01,340,3
2023-02-01,350,41
2023-02-01,351,30
2023-02-01,352,16
2023-02-01,353,34
2023-02-01,354,18
2023-02-01,355,6
2023-02-01,356,9
2023-02-01,357,2
2023-02-01,359,2
2023-02-01,360,20
2023-02-01,361,37
2023-02-01,362,37
2023-02-02,1,197
2023-02-02,2,15
2023-02-02,3,3
2023-02-02,5,14
2023-02-02,8,88
2023-02-02,9,82
2023-02-02,10,55
2023-02-02,11,7
2023-02-02,12,37
2023-02-02,13,92
2023-02-02,14,21
2023-02-02,15,38
2023-02-02,16,60
2023-02-02,17,69
2023-02-02,18,88
2023-02-02,19,16
2023-02-02,20,51
2023-02-02,21,12
2023-02-02,22,34
2023-02-02,23,58
2023-02-02,24,48
2023-02-02,25,28
2023-02-02,26,11
2023-02-02,27,18
2023-02-02,28,30
2023-02-02,29,117
2023-02-02,30,57
2023-02-02,31,7
2023-02-02,32,9
2023-02-02,33,7
2023-02-02,34,4
2023-02-02,35,2
2023-02-02,37,13
2023-02-02,38,5
2023-02-02,39,4
2023-02-02,40,7
2023-02-02,41,43
2023-02-02,42,20
2023-02-02,43,16
2023-02-02,44,4
2023-02-02,45,6
2023-02-02,46,4
2023-02-02,47,11
2023-02-02,48,10
2023-02-02,49,9
2023-02-02,50,6
2023-02-02,51,4
2023-02-02,52,18
2023-02-02,53,105
2023-02-02,55,92
2023-02-02,58,18
2023-02-02,59,2
2023-02-02,60,4
2023-02-02,61,1
2023-02-02,62,8
2023-02-02,63,2
2023-02-02,64,13
2023-02-02,65,5
2023-02-02,66,2
2023-02-02,67,3
2023-02-02,68,7
2023-02-02,69,7
2023-02-02,70,8
2023-02-02,71,10
2023-02-02,72,8
2023-02-02,73,27
2023-02-02,75,38
2023-02-02,76,59
