PSA,location,latitude,longitude,zone
1.0,Am Geismar Tor,51.5295419,9.9399561,37101
2.0,Bürgerstraße,51.5331039,9.9268174,37102
3.0,Papendiek,51.5338266,9.931693,37001
4.0,Bonifatiusschule -,51.5288504,9.9360853,37209
5.0,Prinzenstraße,51.5344067,9.9324191,37001
6.0,Albaniplatz,51.5346776,9.9420515,37103
7.0,Albaniplatz,51.5346776,9.9420515,37103
8.0,Am Theater,51.5353726,9.9412661,37001
9.0,Groner-Tor-Straße,51.5331039,9.9268174,37001
10.0,Friedrichstraße / Postberg,51.5346986,9.9406981,37001
11.0,Herzberger Landstraße,51.534709,9.9416985,37001
12.0,Theaterstraße,51.535156650000005,9.938049098445322,37001
13.0,Friedrichstraße / Obere Karspüle,51.5356716,9.9388529,37001
14.0,Burgstraße,51.5349526,9.9378872,37001
15.0,Theaterstraße,51.535156650000005,9.938049098445322,37001
16.0,Reitstallstraße,51.5366345,9.9324646,37104
17.0,Goethe-Allee / Geiststraße,51.5348445,9.9289833,37001
18.0,Goethe-Allee / Neustadt,51.5347373,9.9300435,37001
19.0,Goethe-Allee / Papendiek,51.5345258,9.9316258,37001
20.0,Hospitalstraße / Kurze Straße,51.5303067,9.9362637,37001
21.0,Kurze-Geismar-Straße,51.5294772,9.9387122,37001
22.0,Hospitalstraße / Nikolaistraße,51.5300519,9.9329001,37001
23.0,Goethe-Allee,51.5353251,9.931286426907814,37001
24.0,Goethe-Allee,51.5353251,9.931286426907814,37001
25.0,Papendiek / Johannisstraße,51.5331539,9.9315239,37001
26.0,Gaußstraße,51.5280203,9.9415412,37005
27.0,Albanikirchhof,51.5319213,9.942705047279144,37001
28.0,Stadthalle,51.53385895,9.943545474201493,37201
29.0,Rathaus - Außenstellplätze,51.5281147,9.9405741,37202
30.0,Rathaus - Tiefgarage (S),51.5281644,9.940556700074945,37203
31.0,Reinhäuser Landstraße,51.5284735,9.938928,37005
32.0,Reinhäuser Landstraße,51.5284735,9.938928,37005
33.0,Reinhäuser Landstraße,51.5284735,9.938928,37005
34.0,Reinhäuser Landstraße,51.5284735,9.938928,37005
35.0,Schillerstraße,51.5249491,9.9364939,37005
36.0,Schillerstraße,51.5249491,9.9364939,37005
37.0,Schillerstraße,51.5249491,9.9364939,37005
38.0,Am Feuerschanzengraben,51.5274037,9.9415176,37005
39.0,Sternstraße,51.5286764,9.9412645,37005
40.0,Sternstraße,51.5286764,9.9412645,37005
41.0,Rote Straße,51.5331388,9.9383536,37001
42.0,Lange-Geismar-Straße,51.5316954,9.9367375,37001
43.0,Lange-Geismar-Straße,51.5316954,9.9367375,37001
44.0,Keplerstraße,51.5293708,9.940254,37005
45.0,Keplerstraße,51.5293708,9.940254,37005
46.0,Schildweg,51.5293711,9.9406184,37005
47.0,Schildweg / Calsowstraße,51.5306021,9.9429406,37005
48.0,Schildweg,51.5293711,9.9406184,37005
49.0,Schildweg,51.5293711,9.9406184,37005
50.0,Calsowstraße,51.5309062,9.9453205,37005
51.0,Hainholzweg,51.5333389,9.9477433,37005
52.0,Hainholzweg,51.5333389,9.9477433,37005
53.0,Platz der Göttinger Sieben,51.5406298,9.9355383,37204
54.0,Platz der Göttinger Sieben,51.5406298,9.9355383,37204
55.0,Platz der Göttinger Sieben,51.5406298,9.9355383,37204
58.0,Walkemühlenweg,51.5269978,9.9346413,37005
59.0,Walkemühlenweg,51.5269978,9.9346413,37005
60.0,Walkemühlenweg,51.5269978,9.9346413,37005
61.0,Stegemühlenweg,51.5223258,9.936954171010644,37005
62.0,Stegemühlenweg,51.5223258,9.936954171010644,37005
63.0,Felix-Klein-Straße,51.5271125,9.9354308,37005
64.0,Riemannstraße,51.5257775,9.9367063,37005
65.0,Riemannstraße,51.5257775,9.9367063,37005
66.0,Riemannstraße,51.5257775,9.9367063,37005
67.0,Lotzestraße,51.5286342,9.9341902,37005
68.0,Lotzestraße,51.5286342,9.9341902,37005
69.0,Böttingerstraße,51.52703015,9.929568271256684,37005
70.0,Böttingerstraße / Bunsenstraße,51.52703015,9.929568271256684,37005
71.0,Böttingerstraße,51.52703015,9.929568271256684,37005
72.0,Bunsenstraße,51.52703015,9.929568271256684,37005
73.0,Bunsenstraße,51.52703015,9.929568271256684,37005
75.0,Geiststraße,51.5340891,9.928669,37001
76.0,Neustadt,51.5333284,9.9298912,37001
77.0,Hospitalstraße,51.5300542,9.9330228,37001
78.0,Bürgerstraße / Juzi,51.5292048,9.9330626,37105
79.0,Bürgerstraße / Juzi,51.5292048,9.9330626,37105
80.0,Maschmühlenweg,51.54476315,9.924276406597649,37005
81.0,Maschmühlenweg,51.54476315,9.924276406597649,37005
82.0,Maschmühlenweg,51.54476315,9.924276406597649,37005
83.0,Maschmühlenweg,51.54476315,9.924276406597649,37005
84.0,Bonifatiusschule - 1,51.5293332,9.935659877364444,37106
85.0,Bonifatiusschule - 2,51.5309202,9.9403005,37106
86.0,M-P-G / Sporthalle,51.5375846,9.9407806,37205
88.0,Am Theater 2,51.53809825,9.942993,37001
89.0,Goßlerstraße,51.5415933,9.9378142,37206
