zone,category,num_transactions,total_sales_volume,pct_transactions,pct_sales_volume,preferred_category,preferred_category_pct,highest_grossing_category,highest_grossing_category_pct
37001,app,133303.0,325880.96,32.26,34.56,machine,67.74,machine,65.44
37001,machine,279862.0,617004.1,67.74,65.44,machine,67.74,machine,65.44
37005,app,76815.0,115460.69,31.04,30.75,machine,68.96,machine,69.25
37005,machine,170692.0,260049.9,68.96,69.25,machine,68.96,machine,69.25
37008,app,30216.0,64609.52,32.72,38.11,machine,67.28,machine,61.89
37008,machine,62139.0,104920.8,67.28,61.89,machine,67.28,machine,61.89
37009,app,14538.0,25357.56,31.35,35.32,machine,68.65,machine,64.68
37009,machine,31832.0,46445.6,68.65,64.68,machine,68.65,machine,64.68
37010,app,4387.0,8421.41,28.16,28.52,machine,71.84,machine,71.48
37010,machine,11190.0,21102.2,71.84,71.48,machine,71.84,machine,71.48
37101,app,14905.0,34706.29,55.68,59.06,app,55.68,app,59.06
37101,machine,11866.0,24061.9,44.32,40.94,app,55.68,app,59.06
37102,app,1644.0,4787.38,34.61,35.63,machine,65.39,machine,64.37
37102,machine,3106.0,8647.2,65.39,64.37,machine,65.39,machine,64.37
37103,app,12688.0,38731.03,100.0,100.0,app,100.0,app,100.0
37104,app,2666.0,6102.12,16.13,16.72,machine,83.87,machine,83.28
37104,machine,13861.0,30388.0,83.87,83.28,machine,83.87,machine,83.28
37105,app,10506.0,28850.03,53.99,54.96,app,53.99,app,54.96
37105,machine,8954.0,23641.0,46.01,45.04,app,53.99,app,54.96
37106,app,6948.0,20611.13,31.7,34.33,machine,68.3,machine,65.67
37106,machine,14970.0,39426.1,68.3,65.67,machine,68.3,machine,65.67
37107,app,1937.0,5269.44,26.22,28.65,machine,73.78,machine,71.35
37107,machine,5450.0,13125.2,73.78,71.35,machine,73.78,machine,71.35
37108,app,11259.0,11453.05,65.55,62.66,app,65.55,app,62.66
37108,machine,5917.0,6825.4,34.45,37.34,app,65.55,app,62.66
37109,app,2693.0,6177.6,25.31,26.63,machine,74.69,machine,73.37
37109,machine,7949.0,17023.6,74.69,73.37,machine,74.69,machine,73.37
37201,app,1916.0,2991.28,26.02,24.2,machine,73.98,machine,75.8
37201,machine,5448.0,9370.0,73.98,75.8,machine,73.98,machine,75.8
37202,app,3813.0,4521.02,18.74,18.06,machine,81.26,machine,81.94
37202,machine,16537.0,20510.4,81.26,81.94,machine,81.26,machine,81.94
37203,app,4028.0,7288.47,33.96,38.01,machine,66.04,machine,61.99
37203,machine,7832.0,11887.3,66.04,61.99,machine,66.04,machine,61.99
37204,app,45306.0,94915.18,49.23,51.17,machine,50.77,app,51.17
37204,machine,46716.0,90583.3,50.77,48.83,machine,50.77,app,51.17
37205,app,324.0,496.35,29.78,26.73,machine,70.22,machine,73.27
37205,machine,764.0,1360.6,70.22,73.27,machine,70.22,machine,73.27
37206,app,379.0,842.08,46.16,45.86,machine,53.84,machine,54.14
37206,machine,442.0,994.2,53.84,54.14,machine,53.84,machine,54.14
37207,app,227.0,266.25,55.23,50.32,app,55.23,app,50.32
37207,machine,184.0,262.9,44.77,49.68,app,55.23,app,50.32
37208,app,629.0,458.94,21.42,13.52,machine,78.58,machine,86.48
37208,machine,2308.0,2935.2,78.58,86.48,machine,78.58,machine,86.48
37209,app,151.0,151.75,21.57,16.27,machine,78.43,machine,83.73
37209,machine,549.0,780.7,78.43,83.73,machine,78.43,machine,83.73
